code,name,type
7765,WGS 84 / Jharkhand,Projected CRS
7766,WGS 84 / Madhya Pradesh,Projected CRS
7767,WGS 84 / Maharashtra,Projected CRS
7768,WGS 84 / Manipur,Projected CRS
7769,WGS 84 / Meghalaya,Projected CRS
7770,WGS 84 / Nagaland,Projected CRS
7771,WGS 84 / India Northeast,Projected CRS
7772,WGS 84 / Orissa,Projected CRS
7773,WGS 84 / Punjab,Projected CRS
7774,WGS 84 / Rajasthan,Projected CRS
7775,WGS 84 / Uttar Pradesh,Projected CRS
7776,WGS 84 / Uttaranchal,Projected CRS
7777,WGS 84 / Andaman and Nicobar,Projected CRS
7778,WGS 84 / Chhattisgarh,Projected CRS
7779,WGS 84 / Goa,Projected CRS
7780,WGS 84 / Karnataka,Projected CRS
7781,WGS 84 / Kerala,Projected CRS
7782,WGS 84 / Lakshadweep,Projected CRS
7783,WGS 84 / Mizoram,Projected CRS
7784,WGS 84 / Sikkim,Projected CRS
7785,WGS 84 / Tamil Nadu,Projected CRS
7786,WGS 84 / Tripura,Projected CRS
7787,WGS 84 / West Bengal,Projected CRS
8035,WGS 84 / TM Zone 20N (ftUS),Projected CRS
8036,WGS 84 / TM Zone 21N (ftUS),Projected CRS
8857,WGS 84 / Equal Earth Greenwich,Projected CRS
8858,WGS 84 / Equal Earth Americas,Projected CRS
8859,WGS 84 / Equal Earth Asia-Pacific,Projected CRS
9191,WGS 84 / NIWA Albers,Projected CRS
9354,WGS 84 / IBCSO Polar Stereographic,Projected CRS
9680,WGS 84 / TM 90 NE,Projected CRS
10592,WGS 84 / GLANCE Africa,Projected CRS
10594,WGS 84 / GLANCE Asia,Projected CRS
10596,WGS 84 / GLANCE Europe,Projected CRS
10598,WGS 84 / GLANCE North America,Projected CRS
10601,WGS 84 / GLANCE Oceania,Projected CRS
10603,WGS 84 / GLANCE South America,Projected CRS
10820,WGS 84 / Agriculture Canada Albers,Projected CRS
27701,WGS 84 / Equi7 Africa,Projected CRS
27702,WGS 84 / Equi7 Antarctica,Projected CRS
27703,WGS 84 / Equi7 Asia,Projected CRS
27704,WGS 84 / Equi7 Europe,Projected CRS
27705,WGS 84 / Equi7 North America,Projected CRS
27706,WGS 84 / Equi7 Oceania,Projected CRS
27707,WGS 84 / Equi7 South America,Projected CRS
32600,WGS 84 / UTM grid system (northern hemisphere),Projected CRS
32601,WGS 84 / UTM zone 1N,Projected CRS
32602,WGS 84 / UTM zone 2N,Projected CRS
32603,WGS 84 / UTM zone 3N,Projected CRS
32604,WGS 84 / UTM zone 4N,Projected CRS
32605,WGS 84 / UTM zone 5N,Projected CRS
32606,WGS 84 / UTM zone 6N,Projected CRS
