code,name,type
6186,Cais da Vila do Porto height,Vertical CRS
6187,Ponta Delgada height,Vertical CRS
6190,BD72 / Belgian Lambert 72 + Ostend height,Compound CRS
6201,NAD27 / Michigan Central,Projected CRS
6202,NAD27 / Michigan South,Projected CRS
6204,Macedonia State Coordinate System,Projected CRS
6207,Nepal 1981,Geographic 2D CRS
6210,SIRGAS 2000 / UTM zone 23N,Projected CRS
6211,SIRGAS 2000 / UTM zone 24N,Projected CRS
6244,MAGNA-SIRGAS / Arauca urban grid,Projected CRS
6245,MAGNA-SIRGAS / Armenia urban grid,Projected CRS
6246,MAGNA-SIRGAS / Barranquilla urban grid,Projected CRS
6247,MAGNA-SIRGAS / Bogota urban grid,Projected CRS
6248,MAGNA-SIRGAS / Bucaramanga urban grid,Projected CRS
6249,MAGNA-SIRGAS / Cali urban grid,Projected CRS
6250,MAGNA-SIRGAS / Cartagena urban grid,Projected CRS
6251,MAGNA-SIRGAS / Cucuta urban grid,Projected CRS
6252,MAGNA-SIRGAS / Florencia urban grid,Projected CRS
6253,MAGNA-SIRGAS / Ibague urban grid,Projected CRS
6254,MAGNA-SIRGAS / Inirida urban grid,Projected CRS
6255,MAGNA-SIRGAS / Leticia urban grid,Projected CRS
6256,MAGNA-SIRGAS / Manizales urban grid,Projected CRS
6257,MAGNA-SIRGAS / Medellin urban grid,Projected CRS
6258,MAGNA-SIRGAS / Mitu urban grid,Projected CRS
6259,MAGNA-SIRGAS / Mocoa urban grid,Projected CRS
6260,MAGNA-SIRGAS / Monteria urban grid,Projected CRS
6261,MAGNA-SIRGAS / Neiva urban grid,Projected CRS
6262,MAGNA-SIRGAS / Pasto urban grid,Projected CRS
6263,MAGNA-SIRGAS / Pereira urban grid,Projected CRS
6264,MAGNA-SIRGAS / Popayan urban grid,Projected CRS
6265,MAGNA-SIRGAS / Puerto Carreno urban grid,Projected CRS
6266,MAGNA-SIRGAS / Quibdo urban grid,Projected CRS
6267,MAGNA-SIRGAS / Riohacha urban grid,Projected CRS
6268,MAGNA-SIRGAS / San Andres urban grid,Projected CRS
6269,MAGNA-SIRGAS / San Jose del Guaviare urban grid,Projected CRS
6270,MAGNA-SIRGAS / Santa Marta urban grid,Projected CRS
6271,MAGNA-SIRGAS / Sucre urban grid,Projected CRS
6272,MAGNA-SIRGAS / Tunja urban grid,Projected CRS
6273,MAGNA-SIRGAS / Valledupar urban grid,Projected CRS
6274,MAGNA-SIRGAS / Villavicencio urban grid,Projected CRS
6275,MAGNA-SIRGAS / Yopal urban grid,Projected CRS
6307,NAD83(CORS96) / Puerto Rico and Virgin Is.,Projected CRS
6309,CGRS93,Geocentric CRS
6310,CGRS93,Geographic 3D CRS
6311,CGRS93,Geographic 2D CRS
6312,CGRS93 / Cyprus Local Transverse Mercator,Projected CRS
6316,MGI 1901 / Balkans zone 7,Projected CRS
6317,NAD83(2011),Geocentric CRS
6318,NAD83(2011),Geographic 2D CRS
6319,NAD83(2011),Geographic 3D CRS
6320,NAD83(PA11),Geocentric CRS
6321,NAD83(PA11),Geographic 3D CRS
6322,NAD83(PA11),Geographic 2D CRS
6323,NAD83(MA11),Geocentric CRS
6324,NAD83(MA11),Geographic 3D CRS
6325,NAD83(MA11),Geographic 2D CRS
6328,NAD83(2011) / UTM zone 59N,Projected CRS
6329,NAD83(2011) / UTM zone 60N,Projected CRS
6330,NAD83(2011) / UTM zone 1N,Projected CRS
6331,NAD83(2011) / UTM zone 2N,Projected CRS
6332,NAD83(2011) / UTM zone 3N,Projected CRS
6333,NAD83(2011) / UTM zone 4N,Projected CRS
6334,NAD83(2011) / UTM zone 5N,Projected CRS
6335,NAD83(2011) / UTM zone 6N,Projected CRS
6336,NAD83(2011) / UTM zone 7N,Projected CRS
6337,NAD83(2011) / UTM zone 8N,Projected CRS
6338,NAD83(2011) / UTM zone 9N,Projected CRS
6339,NAD83(2011) / UTM zone 10N,Projected CRS
6340,NAD83(2011) / UTM zone 11N,Projected CRS
6341,NAD83(2011) / UTM zone 12N,Projected CRS
6342,NAD83(2011) / UTM zone 13N,Projected CRS
6343,NAD83(2011) / UTM zone 14N,Projected CRS
6344,NAD83(2011) / UTM zone 15N,Projected CRS
6345,NAD83(2011) / UTM zone 16N,Projected CRS
6346,NAD83(2011) / UTM zone 17N,Projected CRS
6347,NAD83(2011) / UTM zone 18N,Projected CRS
6348,NAD83(2011) / UTM zone 19N,Projected CRS
6349,NAD83(2011) + NAVD88 height,Compound CRS
6350,NAD83(2011) / Conus Albers,Projected CRS
6351,NAD83(2011) / EPSG Arctic zone 5-29,Projected CRS
6352,NAD83(2011) / EPSG Arctic zone 5-31,Projected CRS
6353,NAD83(2011) / EPSG Arctic zone 6-14,Projected CRS
6354,NAD83(2011) / EPSG Arctic zone 6-16,Projected CRS
6355,NAD83(2011) / Alabama East,Projected CRS
6356,NAD83(2011) / Alabama West,Projected CRS
6357,NAVD88 depth,Vertical CRS
6358,NAVD88 depth (ftUS),Vertical CRS
6359,NGVD29 depth (ftUS),Vertical CRS
6360,NAVD88 height (ftUS),Vertical CRS
6362,Mexico ITRF92 / LCC,Projected CRS
6363,Mexico ITRF2008,Geocentric CRS
6364,Mexico ITRF2008,Geographic 3D CRS
6365,Mexico ITRF2008,Geographic 2D CRS
6366,Mexico ITRF2008 / UTM zone 11N,Projected CRS
6367,Mexico ITRF2008 / UTM zone 12N,Projected CRS
6368,Mexico ITRF2008 / UTM zone 13N,Projected CRS
6369,Mexico ITRF2008 / UTM zone 14N,Projected CRS
6370,Mexico ITRF2008 / UTM zone 15N,Projected CRS
6371,Mexico ITRF2008 / UTM zone 16N,Projected CRS
6372,Mexico ITRF2008 / LCC,Projected CRS
6381,UCS-2000 / Ukraine TM zone 7,Projected CRS
6382,UCS-2000 / Ukraine TM zone 8,Projected CRS
6383,UCS-2000 / Ukraine TM zone 9,Projected CRS
6384,UCS-2000 / Ukraine TM zone 10,Projected CRS
6385,UCS-2000 / Ukraine TM zone 11,Projected CRS
6386,UCS-2000 / Ukraine TM zone 12,Projected CRS
6387,UCS-2000 / Ukraine TM zone 13,Projected CRS
6391,Cayman Islands National Grid 2011,Projected CRS
6393,NAD83(2011) / Alaska Albers,Projected CRS
6394,NAD83(2011) / Alaska zone 1,Projected CRS
6395,NAD83(2011) / Alaska zone 2,Projected CRS
6396,NAD83(2011) / Alaska zone 3,Projected CRS
6397,NAD83(2011) / Alaska zone 4,Projected CRS
6398,NAD83(2011) / Alaska zone 5,Projected CRS
6399,NAD83(2011) / Alaska zone 6,Projected CRS
6400,NAD83(2011) / Alaska zone 7,Projected CRS
6401,NAD83(2011) / Alaska zone 8,Projected CRS
6402,NAD83(2011) / Alaska zone 9,Projected CRS
6403,NAD83(2011) / Alaska zone 10,Projected CRS
6404,NAD83(2011) / Arizona Central,Projected CRS
6405,NAD83(2011) / Arizona Central (ft),Projected CRS
6406,NAD83(2011) / Arizona East,Projected CRS
6407,NAD83(2011) / Arizona East (ft),Projected CRS
6408,NAD83(2011) / Arizona West,Projected CRS
6409,NAD83(2011) / Arizona West (ft),Projected CRS
6410,NAD83(2011) / Arkansas North,Projected CRS
6411,NAD83(2011) / Arkansas North (ftUS),Projected CRS
6412,NAD83(2011) / Arkansas South,Projected CRS
6413,NAD83(2011) / Arkansas South (ftUS),Projected CRS
6414,NAD83(2011) / California Albers,Projected CRS
6415,NAD83(2011) / California zone 1,Projected CRS
6416,NAD83(2011) / California zone 1 (ftUS),Projected CRS
6417,NAD83(2011) / California zone 2,Projected CRS
6418,NAD83(2011) / California zone 2 (ftUS),Projected CRS
6419,NAD83(2011) / California zone 3,Projected CRS
6420,NAD83(2011) / California zone 3 (ftUS),Projected CRS
6421,NAD83(2011) / California zone 4,Projected CRS
6422,NAD83(2011) / California zone 4 (ftUS),Projected CRS
6423,NAD83(2011) / California zone 5,Projected CRS
6424,NAD83(2011) / California zone 5 (ftUS),Projected CRS
6425,NAD83(2011) / California zone 6,Projected CRS
6426,NAD83(2011) / California zone 6 (ftUS),Projected CRS
6427,NAD83(2011) / Colorado Central,Projected CRS
6428,NAD83(2011) / Colorado Central (ftUS),Projected CRS
6429,NAD83(2011) / Colorado North,Projected CRS
6430,NAD83(2011) / Colorado North (ftUS),Projected CRS
6431,NAD83(2011) / Colorado South,Projected CRS
6432,NAD83(2011) / Colorado South (ftUS),Projected CRS
6433,NAD83(2011) / Connecticut,Projected CRS
6434,NAD83(2011) / Connecticut (ftUS),Projected CRS
6435,NAD83(2011) / Delaware,Projected CRS
6436,NAD83(2011) / Delaware (ftUS),Projected CRS
6437,NAD83(2011) / Florida East,Projected CRS
6438,NAD83(2011) / Florida East (ftUS),Projected CRS
6439,NAD83(2011) / Florida GDL Albers,Projected CRS
6440,NAD83(2011) / Florida North,Projected CRS
6441,NAD83(2011) / Florida North (ftUS),Projected CRS
6442,NAD83(2011) / Florida West,Projected CRS
6443,NAD83(2011) / Florida West (ftUS),Projected CRS
6444,NAD83(2011) / Georgia East,Projected CRS
6445,NAD83(2011) / Georgia East (ftUS),Projected CRS
6446,NAD83(2011) / Georgia West,Projected CRS
6447,NAD83(2011) / Georgia West (ftUS),Projected CRS
6448,NAD83(2011) / Idaho Central,Projected CRS
6449,NAD83(2011) / Idaho Central (ftUS),Projected CRS
6450,NAD83(2011) / Idaho East,Projected CRS
6451,NAD83(2011) / Idaho East (ftUS),Projected CRS
6452,NAD83(2011) / Idaho West,Projected CRS
6453,NAD83(2011) / Idaho West (ftUS),Projected CRS
6454,NAD83(2011) / Illinois East,Projected CRS
6455,NAD83(2011) / Illinois East (ftUS),Projected CRS
6456,NAD83(2011) / Illinois West,Projected CRS
6457,NAD83(2011) / Illinois West (ftUS),Projected CRS
6458,NAD83(2011) / Indiana East,Projected CRS
6459,NAD83(2011) / Indiana East (ftUS),Projected CRS
6460,NAD83(2011) / Indiana West,Projected CRS
6461,NAD83(2011) / Indiana West (ftUS),Projected CRS
6462,NAD83(2011) / Iowa North,Projected CRS
6463,NAD83(2011) / Iowa North (ftUS),Projected CRS
6464,NAD83(2011) / Iowa South,Projected CRS
6465,NAD83(2011) / Iowa South (ftUS),Projected CRS
6466,NAD83(2011) / Kansas North,Projected CRS
6467,NAD83(2011) / Kansas North (ftUS),Projected CRS
6468,NAD83(2011) / Kansas South,Projected CRS
6469,NAD83(2011) / Kansas South (ftUS),Projected CRS
6470,NAD83(2011) / Kentucky North,Projected CRS
6471,NAD83(2011) / Kentucky North (ftUS),Projected CRS
6472,NAD83(2011) / Kentucky Single Zone,Projected CRS
6473,NAD83(2011) / Kentucky Single Zone (ftUS),Projected CRS
6474,NAD83(2011) / Kentucky South,Projected CRS
6475,NAD83(2011) / Kentucky South (ftUS),Projected CRS
6476,NAD83(2011) / Louisiana North,Projected CRS
6477,NAD83(2011) / Louisiana North (ftUS),Projected CRS
6478,NAD83(2011) / Louisiana South,Projected CRS
6479,NAD83(2011) / Louisiana South (ftUS),Projected CRS
6480,NAD83(2011) / Maine CS2000 Central,Projected CRS
6481,NAD83(2011) / Maine CS2000 East,Projected CRS
6482,NAD83(2011) / Maine CS2000 West,Projected CRS
6483,NAD83(2011) / Maine East,Projected CRS
6484,NAD83(2011) / Maine East (ftUS),Projected CRS
6485,NAD83(2011) / Maine West,Projected CRS
6486,NAD83(2011) / Maine West (ftUS),Projected CRS
6487,NAD83(2011) / Maryland,Projected CRS
6488,NAD83(2011) / Maryland (ftUS),Projected CRS
6489,NAD83(2011) / Massachusetts Island,Projected CRS
6490,NAD83(2011) / Massachusetts Island (ftUS),Projected CRS
6491,NAD83(2011) / Massachusetts Mainland,Projected CRS
6492,NAD83(2011) / Massachusetts Mainland (ftUS),Projected CRS
6493,NAD83(2011) / Michigan Central,Projected CRS
6494,NAD83(2011) / Michigan Central (ft),Projected CRS
6495,NAD83(2011) / Michigan North,Projected CRS
6496,NAD83(2011) / Michigan North (ft),Projected CRS
6497,NAD83(2011) / Michigan Oblique Mercator,Projected CRS
6498,NAD83(2011) / Michigan South,Projected CRS
6499,NAD83(2011) / Michigan South (ft),Projected CRS
6500,NAD83(2011) / Minnesota Central,Projected CRS
6501,NAD83(2011) / Minnesota Central (ftUS),Projected CRS
6502,NAD83(2011) / Minnesota North,Projected CRS
6503,NAD83(2011) / Minnesota North (ftUS),Projected CRS
6504,NAD83(2011) / Minnesota South,Projected CRS
6505,NAD83(2011) / Minnesota South (ftUS),Projected CRS
6506,NAD83(2011) / Mississippi East,Projected CRS
6507,NAD83(2011) / Mississippi East (ftUS),Projected CRS
6508,NAD83(2011) / Mississippi TM,Projected CRS
6509,NAD83(2011) / Mississippi West,Projected CRS
6510,NAD83(2011) / Mississippi West (ftUS),Projected CRS
6511,NAD83(2011) / Missouri Central,Projected CRS
6512,NAD83(2011) / Missouri East,Projected CRS
6513,NAD83(2011) / Missouri West,Projected CRS
6514,NAD83(2011) / Montana,Projected CRS
6515,NAD83(2011) / Montana (ft),Projected CRS
6516,NAD83(2011) / Nebraska,Projected CRS
6518,NAD83(2011) / Nevada Central,Projected CRS
6519,NAD83(2011) / Nevada Central (ftUS),Projected CRS
6520,NAD83(2011) / Nevada East,Projected CRS
6521,NAD83(2011) / Nevada East (ftUS),Projected CRS
6522,NAD83(2011) / Nevada West,Projected CRS
6523,NAD83(2011) / Nevada West (ftUS),Projected CRS
6524,NAD83(2011) / New Hampshire,Projected CRS
6525,NAD83(2011) / New Hampshire (ftUS),Projected CRS
6526,NAD83(2011) / New Jersey,Projected CRS
6527,NAD83(2011) / New Jersey (ftUS),Projected CRS
6528,NAD83(2011) / New Mexico Central,Projected CRS
6529,NAD83(2011) / New Mexico Central (ftUS),Projected CRS
6530,NAD83(2011) / New Mexico East,Projected CRS
6531,NAD83(2011) / New Mexico East (ftUS),Projected CRS
6532,NAD83(2011) / New Mexico West,Projected CRS
6533,NAD83(2011) / New Mexico West (ftUS),Projected CRS
6534,NAD83(2011) / New York Central,Projected CRS
6535,NAD83(2011) / New York Central (ftUS),Projected CRS
6536,NAD83(2011) / New York East,Projected CRS
6537,NAD83(2011) / New York East (ftUS),Projected CRS
6538,NAD83(2011) / New York Long Island,Projected CRS
6539,NAD83(2011) / New York Long Island (ftUS),Projected CRS
6540,NAD83(2011) / New York West,Projected CRS
6541,NAD83(2011) / New York West (ftUS),Projected CRS
6542,NAD83(2011) / North Carolina,Projected CRS
6543,NAD83(2011) / North Carolina (ftUS),Projected CRS
6544,NAD83(2011) / North Dakota North,Projected CRS
6545,NAD83(2011) / North Dakota North (ft),Projected CRS
6546,NAD83(2011) / North Dakota South,Projected CRS
6547,NAD83(2011) / North Dakota South (ft),Projected CRS
6548,NAD83(2011) / Ohio North,Projected CRS
6549,NAD83(2011) / Ohio North (ftUS),Projected CRS
6550,NAD83(2011) / Ohio South,Projected CRS
6551,NAD83(2011) / Ohio South (ftUS),Projected CRS
6552,NAD83(2011) / Oklahoma North,Projected CRS
6553,NAD83(2011) / Oklahoma North (ftUS),Projected CRS
6554,NAD83(2011) / Oklahoma South,Projected CRS
6555,NAD83(2011) / Oklahoma South (ftUS),Projected CRS
6556,NAD83(2011) / Oregon LCC (m),Projected CRS
6557,NAD83(2011) / Oregon GIC Lambert (ft),Projected CRS
6558,NAD83(2011) / Oregon North,Projected CRS
6559,NAD83(2011) / Oregon North (ft),Projected CRS
6560,NAD83(2011) / Oregon South,Projected CRS
6561,NAD83(2011) / Oregon South (ft),Projected CRS
6562,NAD83(2011) / Pennsylvania North,Projected CRS
6563,NAD83(2011) / Pennsylvania North (ftUS),Projected CRS
6564,NAD83(2011) / Pennsylvania South,Projected CRS
6565,NAD83(2011) / Pennsylvania South (ftUS),Projected CRS
6566,NAD83(2011) / Puerto Rico and Virgin Is.,Projected CRS
6567,NAD83(2011) / Rhode Island,Projected CRS
6568,NAD83(2011) / Rhode Island (ftUS),Projected CRS
6569,NAD83(2011) / South Carolina,Projected CRS
6570,NAD83(2011) / South Carolina (ft),Projected CRS
6571,NAD83(2011) / South Dakota North,Projected CRS
6572,NAD83(2011) / South Dakota North (ftUS),Projected CRS
6573,NAD83(2011) / South Dakota South,Projected CRS
6574,NAD83(2011) / South Dakota South (ftUS),Projected CRS
6575,NAD83(2011) / Tennessee,Projected CRS
6576,NAD83(2011) / Tennessee (ftUS),Projected CRS
6577,NAD83(2011) / Texas Central,Projected CRS
6578,NAD83(2011) / Texas Central (ftUS),Projected CRS
6579,NAD83(2011) / Texas Centric Albers Equal Area,Projected CRS
6580,NAD83(2011) / Texas Centric Lambert Conformal,Projected CRS
6581,NAD83(2011) / Texas North,Projected CRS
6582,NAD83(2011) / Texas North (ftUS),Projected CRS
6583,NAD83(2011) / Texas North Central,Projected CRS
6584,NAD83(2011) / Texas North Central (ftUS),Projected CRS
6585,NAD83(2011) / Texas South,Projected CRS
6586,NAD83(2011) / Texas South (ftUS),Projected CRS
6587,NAD83(2011) / Texas South Central,Projected CRS
6588,NAD83(2011) / Texas South Central (ftUS),Projected CRS
6589,NAD83(2011) / Vermont,Projected CRS
6590,NAD83(2011) / Vermont (ftUS),Projected CRS
6591,NAD83(2011) / Virginia Lambert,Projected CRS
6592,NAD83(2011) / Virginia North,Projected CRS
6593,NAD83(2011) / Virginia North (ftUS),Projected CRS
6594,NAD83(2011) / Virginia South,Projected CRS
6595,NAD83(2011) / Virginia South (ftUS),Projected CRS
6596,NAD83(2011) / Washington North,Projected CRS
6597,NAD83(2011) / Washington North (ftUS),Projected CRS
6598,NAD83(2011) / Washington South,Projected CRS
6599,NAD83(2011) / Washington South (ftUS),Projected CRS
6600,NAD83(2011) / West Virginia North,Projected CRS
6601,NAD83(2011) / West Virginia North (ftUS),Projected CRS
6602,NAD83(2011) / West Virginia South,Projected CRS
6603,NAD83(2011) / West Virginia South (ftUS),Projected CRS
6605,NAD83(2011) / Wisconsin Central (ftUS),Projected CRS
6606,NAD83(2011) / Wisconsin North,Projected CRS
6607,NAD83(2011) / Wisconsin North (ftUS),Projected CRS
6608,NAD83(2011) / Wisconsin South,Projected CRS
6609,NAD83(2011) / Wisconsin South (ftUS),Projected CRS
6610,NAD83(2011) / Wisconsin Transverse Mercator,Projected CRS
6611,NAD83(2011) / Wyoming East,Projected CRS
6612,NAD83(2011) / Wyoming East (ftUS),Projected CRS
6613,NAD83(2011) / Wyoming East Central,Projected CRS
6614,NAD83(2011) / Wyoming East Central (ftUS),Projected CRS
6615,NAD83(2011) / Wyoming West,Projected CRS
6616,NAD83(2011) / Wyoming West (ftUS),Projected CRS
6617,NAD83(2011) / Wyoming West Central,Projected CRS
6618,NAD83(2011) / Wyoming West Central (ftUS),Projected CRS
6619,NAD83(2011) / Utah Central,Projected CRS
6620,NAD83(2011) / Utah North,Projected CRS
6621,NAD83(2011) / Utah South,Projected CRS
6622,NAD83(CSRS)v2 / Quebec Lambert,Projected CRS
6623,NAD83 / Quebec Albers,Projected CRS
6624,NAD83(CSRS)v2 / Quebec Albers,Projected CRS
6625,NAD83(2011) / Utah Central (ftUS),Projected CRS
6626,NAD83(2011) / Utah North (ftUS),Projected CRS
6627,NAD83(2011) / Utah South (ftUS),Projected CRS
6628,NAD83(PA11) / Hawaii zone 1,Projected CRS
6629,NAD83(PA11) / Hawaii zone 2,Projected CRS
6630,NAD83(PA11) / Hawaii zone 3,Projected CRS
6631,NAD83(PA11) / Hawaii zone 4,Projected CRS
6632,NAD83(PA11) / Hawaii zone 5,Projected CRS
6633,NAD83(PA11) / Hawaii zone 3 (ftUS),Projected CRS
6634,NAD83(PA11) / UTM zone 4N,Projected CRS
6635,NAD83(PA11) / UTM zone 5N,Projected CRS
6636,NAD83(PA11) / UTM zone 2S,Projected CRS
6637,NAD83(MA11) / Guam Map Grid,Projected CRS
6638,Tutuila 1962 height,Vertical CRS
6639,Guam 1963 height,Vertical CRS
6640,NMVD03 height,Vertical CRS
6641,PRVD02 height,Vertical CRS
6642,VIVD09 height,Vertical CRS
6643,ASVD02 height,Vertical CRS
6644,GUVD04 height,Vertical CRS
6646,Karbala 1979 / Iraq National Grid,Projected CRS
6647,CGVD2013(CGG2013) height,Vertical CRS
6649,NAD83(CSRS) + CGVD2013(CGG2013) height,Compound CRS
6650,NAD83(CSRS) / UTM zone 7N + CGVD2013 height,Compound CRS
6651,NAD83(CSRS) / UTM zone 8N + CGVD2013 height,Compound CRS
6652,NAD83(CSRS) / UTM zone 9N + CGVD2013 height,Compound CRS
6653,NAD83(CSRS) / UTM zone 10N + CGVD2013 height,Compound CRS
6654,NAD83(CSRS) / UTM zone 11N + CGVD2013 height,Compound CRS
6655,NAD83(CSRS) / UTM zone 12N + CGVD2013 height,Compound CRS
6656,NAD83(CSRS) / UTM zone 13N + CGVD2013 height,Compound CRS
6657,NAD83(CSRS) / UTM zone 14N + CGVD2013 height,Compound CRS
6658,NAD83(CSRS) / UTM zone 15N + CGVD2013 height,Compound CRS
6659,NAD83(CSRS) / UTM zone 16N + CGVD2013 height,Compound CRS
6660,NAD83(CSRS) / UTM zone 17N + CGVD2013 height,Compound CRS
6661,NAD83(CSRS) / UTM zone 18N + CGVD2013 height,Compound CRS
6662,NAD83(CSRS) / UTM zone 19N + CGVD2013 height,Compound CRS
6663,NAD83(CSRS) / UTM zone 20N + CGVD2013 height,Compound CRS
6664,NAD83(CSRS) / UTM zone 21N + CGVD2013 height,Compound CRS
6665,NAD83(CSRS) / UTM zone 22N + CGVD2013 height,Compound CRS
6666,JGD2011,Geocentric CRS
6667,JGD2011,Geographic 3D CRS
6668,JGD2011,Geographic 2D CRS
6669,JGD2011 / Japan Plane Rectangular CS I,Projected CRS
6670,JGD2011 / Japan Plane Rectangular CS II,Projected CRS
6671,JGD2011 / Japan Plane Rectangular CS III,Projected CRS
6672,JGD2011 / Japan Plane Rectangular CS IV,Projected CRS
6673,JGD2011 / Japan Plane Rectangular CS V,Projected CRS
6674,JGD2011 / Japan Plane Rectangular CS VI,Projected CRS
6675,JGD2011 / Japan Plane Rectangular CS VII,Projected CRS
6676,JGD2011 / Japan Plane Rectangular CS VIII,Projected CRS
6677,JGD2011 / Japan Plane Rectangular CS IX,Projected CRS
6678,JGD2011 / Japan Plane Rectangular CS X,Projected CRS
6679,JGD2011 / Japan Plane Rectangular CS XI,Projected CRS
6680,JGD2011 / Japan Plane Rectangular CS XII,Projected CRS
6681,JGD2011 / Japan Plane Rectangular CS XIII,Projected CRS
6682,JGD2011 / Japan Plane Rectangular CS XIV,Projected CRS
6683,JGD2011 / Japan Plane Rectangular CS XV,Projected CRS
6684,JGD2011 / Japan Plane Rectangular CS XVI,Projected CRS
6685,JGD2011 / Japan Plane Rectangular CS XVII,Projected CRS
6686,JGD2011 / Japan Plane Rectangular CS XVIII,Projected CRS
6687,JGD2011 / Japan Plane Rectangular CS XIX,Projected CRS
6688,JGD2011 / UTM zone 51N,Projected CRS
6689,JGD2011 / UTM zone 52N,Projected CRS
6690,JGD2011 / UTM zone 53N,Projected CRS
6691,JGD2011 / UTM zone 54N,Projected CRS
6692,JGD2011 / UTM zone 55N,Projected CRS
6693,JSLD72 height,Vertical CRS
6694,JGD2000 (vertical) height,Vertical CRS
6695,JGD2011 (vertical) height,Vertical CRS
6696,JGD2000 + JGD2000 (vertical) height,Compound CRS
6697,JGD2011 + JGD2011 (vertical) height,Compound CRS
6700,Tokyo + JSLD72 height,Compound CRS
6703,WGS 84 / TM 60 SW,Projected CRS
6704,RDN2008,Geocentric CRS
6705,RDN2008,Geographic 3D CRS
6706,RDN2008,Geographic 2D CRS
6707,RDN2008 / UTM zone 32N (N-E),Projected CRS
6708,RDN2008 / UTM zone 33N (N-E),Projected CRS
6709,RDN2008 / UTM zone 34N (N-E),Projected CRS
6715,Christmas Island Grid 1985,Engineering CRS
6720,WGS 84 / CIG92,Projected CRS
6721,GDA94 / CIG94,Projected CRS
6722,WGS 84 / CKIG92,Projected CRS
6723,GDA94 / CKIG94,Projected CRS
6736,GDA94 / MGA zone 46,Projected CRS
6737,GDA94 / MGA zone 47,Projected CRS
6738,GDA94 / MGA zone 59,Projected CRS
6781,NAD83(CORS96),Geocentric CRS
6782,NAD83(CORS96),Geographic 3D CRS
6783,NAD83(CORS96),Geographic 2D CRS
6784,NAD83(CORS96) / Oregon Baker zone (m),Projected CRS
6785,NAD83(CORS96) / Oregon Baker zone (ft),Projected CRS
6786,NAD83(2011) / Oregon Baker zone (m),Projected CRS
6787,NAD83(2011) / Oregon Baker zone (ft),Projected CRS
6788,NAD83(CORS96) / Oregon Bend-Klamath Falls zone (m),Projected CRS
6789,NAD83(CORS96) / Oregon Bend-Klamath Falls zone (ft),Projected CRS
6790,NAD83(2011) / Oregon Bend-Klamath Falls zone (m),Projected CRS
6791,NAD83(2011) / Oregon Bend-Klamath Falls zone (ft),Projected CRS
6792,NAD83(CORS96) / Oregon Bend-Redmond-Prineville zone (m),Projected CRS
6793,NAD83(CORS96) / Oregon Bend-Redmond-Prineville zone (ft),Projected CRS
6794,NAD83(2011) / Oregon Bend-Redmond-Prineville zone (m),Projected CRS
6795,NAD83(2011) / Oregon Bend-Redmond-Prineville zone (ft),Projected CRS
6796,NAD83(CORS96) / Oregon Bend-Burns zone (m),Projected CRS
6797,NAD83(CORS96) / Oregon Bend-Burns zone (ft),Projected CRS
6798,NAD83(2011) / Oregon Bend-Burns zone (m),Projected CRS
6799,NAD83(2011) / Oregon Bend-Burns zone (ft),Projected CRS
6800,NAD83(CORS96) / Oregon Canyonville-Grants Pass zone (m),Projected CRS
6801,NAD83(CORS96) / Oregon Canyonville-Grants Pass zone (ft),Projected CRS
6802,NAD83(2011) / Oregon Canyonville-Grants Pass zone (m),Projected CRS
6803,NAD83(2011) / Oregon Canyonville-Grants Pass zone (ft),Projected CRS
6804,NAD83(CORS96) / Oregon Columbia River East zone (m),Projected CRS
6805,NAD83(CORS96) / Oregon Columbia River East zone (ft),Projected CRS
6806,NAD83(2011) / Oregon Columbia River East zone (m),Projected CRS
6807,NAD83(2011) / Oregon Columbia River East zone (ft),Projected CRS
6808,NAD83(CORS96) / Oregon Columbia River West zone (m),Projected CRS
6809,NAD83(CORS96) / Oregon Columbia River West zone (ft),Projected CRS
6810,NAD83(2011) / Oregon Columbia River West zone (m),Projected CRS
6811,NAD83(2011) / Oregon Columbia River West zone (ft),Projected CRS
6812,NAD83(CORS96) / Oregon Cottage Grove-Canyonville zone (m),Projected CRS
6813,NAD83(CORS96) / Oregon Cottage Grove-Canyonville zone (ft),Projected CRS
6814,NAD83(2011) / Oregon Cottage Grove-Canyonville zone (m),Projected CRS
6815,NAD83(2011) / Oregon Cottage Grove-Canyonville zone (ft),Projected CRS
6816,NAD83(CORS96) / Oregon Dufur-Madras zone (m),Projected CRS
6817,NAD83(CORS96) / Oregon Dufur-Madras zone (ft),Projected CRS
6818,NAD83(2011) / Oregon Dufur-Madras zone (m),Projected CRS
6819,NAD83(2011) / Oregon Dufur-Madras zone (ft),Projected CRS
6820,NAD83(CORS96) / Oregon Eugene zone (m),Projected CRS
6821,NAD83(CORS96) / Oregon Eugene zone (ft),Projected CRS
6822,NAD83(2011) / Oregon Eugene zone (m),Projected CRS
6823,NAD83(2011) / Oregon Eugene zone (ft),Projected CRS
6824,NAD83(CORS96) / Oregon Grants Pass-Ashland zone (m),Projected CRS
6825,NAD83(CORS96) / Oregon Grants Pass-Ashland zone (ft),Projected CRS
6826,NAD83(2011) / Oregon Grants Pass-Ashland zone (m),Projected CRS
6827,NAD83(2011) / Oregon Grants Pass-Ashland zone (ft),Projected CRS
6828,NAD83(CORS96) / Oregon Gresham-Warm Springs zone (m),Projected CRS
6829,NAD83(CORS96) / Oregon Gresham-Warm Springs zone (ft),Projected CRS
6830,NAD83(2011) / Oregon Gresham-Warm Springs zone (m),Projected CRS
