code,name,type
2206,ED50 / 3-degree Gauss-Kruger zone 9,Projected CRS
2207,ED50 / 3-degree Gauss-Kruger zone 10,Projected CRS
2208,ED50 / 3-degree Gauss-Kruger zone 11,Projected CRS
2209,ED50 / 3-degree Gauss-Kruger zone 12,Projected CRS
2210,ED50 / 3-degree Gauss-Kruger zone 13,Projected CRS
2211,ED50 / 3-degree Gauss-Kruger zone 14,Projected CRS
2212,ED50 / 3-degree Gauss-Kruger zone 15,Projected CRS
2213,ETRS89 / TM 30 NE,Projected CRS
2215,Manoca 1962 / UTM zone 32N,Projected CRS
2216,Qornoq 1927 / UTM zone 22N,Projected CRS
2217,Qornoq 1927 / UTM zone 23N,Projected CRS
2218,Scoresbysund 1952 / Greenland zone 5 east,Projected CRS
2219,ATS77 / UTM zone 19N,Projected CRS
2220,ATS77 / UTM zone 20N,Projected CRS
2221,Scoresbysund 1952 / Greenland zone 6 east,Projected CRS
2222,NAD83 / Arizona East (ft),Projected CRS
2223,NAD83 / Arizona Central (ft),Projected CRS
2224,NAD83 / Arizona West (ft),Projected CRS
2225,NAD83 / California zone 1 (ftUS),Projected CRS
2226,NAD83 / California zone 2 (ftUS),Projected CRS
2227,NAD83 / California zone 3 (ftUS),Projected CRS
2228,NAD83 / California zone 4 (ftUS),Projected CRS
2229,NAD83 / California zone 5 (ftUS),Projected CRS
2230,NAD83 / California zone 6 (ftUS),Projected CRS
2231,NAD83 / Colorado North (ftUS),Projected CRS
2232,NAD83 / Colorado Central (ftUS),Projected CRS
2233,NAD83 / Colorado South (ftUS),Projected CRS
2234,NAD83 / Connecticut (ftUS),Projected CRS
2235,NAD83 / Delaware (ftUS),Projected CRS
2236,NAD83 / Florida East (ftUS),Projected CRS
2237,NAD83 / Florida West (ftUS),Projected CRS
2238,NAD83 / Florida North (ftUS),Projected CRS
2239,NAD83 / Georgia East (ftUS),Projected CRS
2240,NAD83 / Georgia West (ftUS),Projected CRS
2241,NAD83 / Idaho East (ftUS),Projected CRS
2242,NAD83 / Idaho Central (ftUS),Projected CRS
2243,NAD83 / Idaho West (ftUS),Projected CRS
2246,NAD83 / Kentucky North (ftUS),Projected CRS
2247,NAD83 / Kentucky South (ftUS),Projected CRS
2248,NAD83 / Maryland (ftUS),Projected CRS
2249,NAD83 / Massachusetts Mainland (ftUS),Projected CRS
2250,NAD83 / Massachusetts Island (ftUS),Projected CRS
2251,NAD83 / Michigan North (ft),Projected CRS
2252,NAD83 / Michigan Central (ft),Projected CRS
2253,NAD83 / Michigan South (ft),Projected CRS
2254,NAD83 / Mississippi East (ftUS),Projected CRS
2255,NAD83 / Mississippi West (ftUS),Projected CRS
2256,NAD83 / Montana (ft),Projected CRS
2257,NAD83 / New Mexico East (ftUS),Projected CRS
2258,NAD83 / New Mexico Central (ftUS),Projected CRS
2259,NAD83 / New Mexico West (ftUS),Projected CRS
2260,NAD83 / New York East (ftUS),Projected CRS
2261,NAD83 / New York Central (ftUS),Projected CRS
2262,NAD83 / New York West (ftUS),Projected CRS
2263,NAD83 / New York Long Island (ftUS),Projected CRS
2264,NAD83 / North Carolina (ftUS),Projected CRS
2265,NAD83 / North Dakota North (ft),Projected CRS
2266,NAD83 / North Dakota South (ft),Projected CRS
2267,NAD83 / Oklahoma North (ftUS),Projected CRS
2268,NAD83 / Oklahoma South (ftUS),Projected CRS
2269,NAD83 / Oregon North (ft),Projected CRS
2270,NAD83 / Oregon South (ft),Projected CRS
2271,NAD83 / Pennsylvania North (ftUS),Projected CRS
2272,NAD83 / Pennsylvania South (ftUS),Projected CRS
2273,NAD83 / South Carolina (ft),Projected CRS
2274,NAD83 / Tennessee (ftUS),Projected CRS
2275,NAD83 / Texas North (ftUS),Projected CRS
2276,NAD83 / Texas North Central (ftUS),Projected CRS
2277,NAD83 / Texas Central (ftUS),Projected CRS
2278,NAD83 / Texas South Central (ftUS),Projected CRS
2279,NAD83 / Texas South (ftUS),Projected CRS
2280,NAD83 / Utah North (ft),Projected CRS
2281,NAD83 / Utah Central (ft),Projected CRS
2282,NAD83 / Utah South (ft),Projected CRS
2283,NAD83 / Virginia North (ftUS),Projected CRS
2284,NAD83 / Virginia South (ftUS),Projected CRS
2285,NAD83 / Washington North (ftUS),Projected CRS
2286,NAD83 / Washington South (ftUS),Projected CRS
2287,NAD83 / Wisconsin North (ftUS),Projected CRS
2288,NAD83 / Wisconsin Central (ftUS),Projected CRS
2289,NAD83 / Wisconsin South (ftUS),Projected CRS
2290,ATS77 / Prince Edward Isl. Stereographic (ATS77),Projected CRS
2294,ATS77 / MTM Nova Scotia zone 4,Projected CRS
2295,ATS77 / MTM Nova Scotia zone 5,Projected CRS
2296,Ammassalik 1958 / Greenland zone 7 east,Projected CRS
2299,Qornoq 1927 / Greenland zone 2 west,Projected CRS
2301,Qornoq 1927 / Greenland zone 3 west,Projected CRS
2303,Qornoq 1927 / Greenland zone 4 west,Projected CRS
2304,Qornoq 1927 / Greenland zone 5 west,Projected CRS
2305,Qornoq 1927 / Greenland zone 6 west,Projected CRS
2306,Qornoq 1927 / Greenland zone 7 west,Projected CRS
2307,Qornoq 1927 / Greenland zone 8 east,Projected CRS
2308,Batavia / TM 109 SE,Projected CRS
2309,WGS 84 / TM 116 SE,Projected CRS
2310,WGS 84 / TM 132 SE,Projected CRS
2311,WGS 84 / TM 6 NE,Projected CRS
2312,Garoua / UTM zone 33N,Projected CRS
2313,Kousseri / UTM zone 33N,Projected CRS
2314,Trinidad 1903 / Trinidad Grid (ftCla),Projected CRS
2315,Campo Inchauspe / UTM zone 19S,Projected CRS
2316,Campo Inchauspe / UTM zone 20S,Projected CRS
2317,PSAD56 / ICN Regional,Projected CRS
2318,Ain el Abd / Aramco Lambert,Projected CRS
2319,ED50 / TM27,Projected CRS
2320,ED50 / TM30,Projected CRS
2321,ED50 / TM33,Projected CRS
2322,ED50 / TM36,Projected CRS
2323,ED50 / TM39,Projected CRS
2324,ED50 / TM42,Projected CRS
2325,ED50 / TM45,Projected CRS
2326,Hong Kong 1980 Grid System,Projected CRS
2327,Xian 1980 / Gauss-Kruger zone 13,Projected CRS
2328,Xian 1980 / Gauss-Kruger zone 14,Projected CRS
2329,Xian 1980 / Gauss-Kruger zone 15,Projected CRS
2330,Xian 1980 / Gauss-Kruger zone 16,Projected CRS
2331,Xian 1980 / Gauss-Kruger zone 17,Projected CRS
2332,Xian 1980 / Gauss-Kruger zone 18,Projected CRS
2333,Xian 1980 / Gauss-Kruger zone 19,Projected CRS
2334,Xian 1980 / Gauss-Kruger zone 20,Projected CRS
2335,Xian 1980 / Gauss-Kruger zone 21,Projected CRS
2336,Xian 1980 / Gauss-Kruger zone 22,Projected CRS
2337,Xian 1980 / Gauss-Kruger zone 23,Projected CRS
2338,Xian 1980 / Gauss-Kruger CM 75E,Projected CRS
2339,Xian 1980 / Gauss-Kruger CM 81E,Projected CRS
2340,Xian 1980 / Gauss-Kruger CM 87E,Projected CRS
2341,Xian 1980 / Gauss-Kruger CM 93E,Projected CRS
2342,Xian 1980 / Gauss-Kruger CM 99E,Projected CRS
2343,Xian 1980 / Gauss-Kruger CM 105E,Projected CRS
2344,Xian 1980 / Gauss-Kruger CM 111E,Projected CRS
2345,Xian 1980 / Gauss-Kruger CM 117E,Projected CRS
2346,Xian 1980 / Gauss-Kruger CM 123E,Projected CRS
2347,Xian 1980 / Gauss-Kruger CM 129E,Projected CRS
2348,Xian 1980 / Gauss-Kruger CM 135E,Projected CRS
2349,Xian 1980 / 3-degree Gauss-Kruger zone 25,Projected CRS
2350,Xian 1980 / 3-degree Gauss-Kruger zone 26,Projected CRS
2351,Xian 1980 / 3-degree Gauss-Kruger zone 27,Projected CRS
2352,Xian 1980 / 3-degree Gauss-Kruger zone 28,Projected CRS
2353,Xian 1980 / 3-degree Gauss-Kruger zone 29,Projected CRS
2354,Xian 1980 / 3-degree Gauss-Kruger zone 30,Projected CRS
2355,Xian 1980 / 3-degree Gauss-Kruger zone 31,Projected CRS
2356,Xian 1980 / 3-degree Gauss-Kruger zone 32,Projected CRS
2357,Xian 1980 / 3-degree Gauss-Kruger zone 33,Projected CRS
2358,Xian 1980 / 3-degree Gauss-Kruger zone 34,Projected CRS
2359,Xian 1980 / 3-degree Gauss-Kruger zone 35,Projected CRS
2360,Xian 1980 / 3-degree Gauss-Kruger zone 36,Projected CRS
2361,Xian 1980 / 3-degree Gauss-Kruger zone 37,Projected CRS
2362,Xian 1980 / 3-degree Gauss-Kruger zone 38,Projected CRS
2363,Xian 1980 / 3-degree Gauss-Kruger zone 39,Projected CRS
2364,Xian 1980 / 3-degree Gauss-Kruger zone 40,Projected CRS
2365,Xian 1980 / 3-degree Gauss-Kruger zone 41,Projected CRS
2366,Xian 1980 / 3-degree Gauss-Kruger zone 42,Projected CRS
2367,Xian 1980 / 3-degree Gauss-Kruger zone 43,Projected CRS
2368,Xian 1980 / 3-degree Gauss-Kruger zone 44,Projected CRS
2369,Xian 1980 / 3-degree Gauss-Kruger zone 45,Projected CRS
2370,Xian 1980 / 3-degree Gauss-Kruger CM 75E,Projected CRS
2371,Xian 1980 / 3-degree Gauss-Kruger CM 78E,Projected CRS
2372,Xian 1980 / 3-degree Gauss-Kruger CM 81E,Projected CRS
2373,Xian 1980 / 3-degree Gauss-Kruger CM 84E,Projected CRS
2374,Xian 1980 / 3-degree Gauss-Kruger CM 87E,Projected CRS
2375,Xian 1980 / 3-degree Gauss-Kruger CM 90E,Projected CRS
2376,Xian 1980 / 3-degree Gauss-Kruger CM 93E,Projected CRS
2377,Xian 1980 / 3-degree Gauss-Kruger CM 96E,Projected CRS
2378,Xian 1980 / 3-degree Gauss-Kruger CM 99E,Projected CRS
2379,Xian 1980 / 3-degree Gauss-Kruger CM 102E,Projected CRS
